engine,rel,note,out_fmt,quality,long_edge,repeat,ok,inner_s,outer_s,peak_rss_kb,rss_over_import_kb,out_bytes,out_w,out_h,src_fmt,src_mode,src_w,src_h,src_mp,src_bytes,src_icc,src_exif_orient,err
pyvips_c1,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",webp,80,2400,2,1,0.84053,0.84419,145888,120524,1509384,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pyvips_tuned,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",webp,80,2400,0,1,0.70535,0.70879,122836,97472,1466506,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pyvips_tuned,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",webp,80,2400,1,1,0.7105,0.71362,119828,94464,1466506,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pyvips_tuned,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",webp,80,2400,2,1,0.7014,0.70486,118892,93528,1466506,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
ffmpeg,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",webp,80,2400,0,1,1.09316,1.09494,220028,194664,1525980,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
ffmpeg,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",webp,80,2400,1,1,1.08941,1.09107,220332,194968,1525980,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
ffmpeg,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",webp,80,2400,2,1,1.10762,1.1094,219884,194520,1525980,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pillow,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",jpeg,85,2400,0,1,0.55288,0.56069,316184,290828,152094,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pillow,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",jpeg,85,2400,1,1,0.55256,0.56052,316184,290828,152094,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pillow,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",jpeg,85,2400,2,1,0.56206,0.57009,316184,290828,152094,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pillow_draft,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",jpeg,85,2400,0,1,0.21688,0.22346,107748,82384,150720,2400,1601,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pillow_draft,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",jpeg,85,2400,1,1,0.2152,0.22235,107748,82384,150720,2400,1601,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pillow_draft,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",jpeg,85,2400,2,1,0.21949,0.22598,107748,82384,150720,2400,1601,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pyvips,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",jpeg,85,2400,0,1,2.82895,2.83266,183220,157856,129797,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pyvips,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",jpeg,85,2400,1,1,2.8363,2.83998,171864,146500,129797,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pyvips,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",jpeg,85,2400,2,1,2.84726,2.85129,185172,159808,129797,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pyvips_c1,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",jpeg,85,2400,0,1,2.81213,2.81641,217368,192004,129797,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pyvips_c1,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",jpeg,85,2400,1,1,2.82527,2.82889,171948,146584,129797,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pyvips_c1,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",jpeg,85,2400,2,1,2.84839,2.8524,184460,159096,129797,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pyvips_tuned,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",jpeg,85,2400,0,1,0.58917,0.59235,130692,105328,129127,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pyvips_tuned,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",jpeg,85,2400,1,1,0.58556,0.58877,127544,102180,129127,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pyvips_tuned,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",jpeg,85,2400,2,1,0.58397,0.58721,115048,89684,129127,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
ffmpeg,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",jpeg,85,2400,0,1,0.33403,0.33554,257516,232152,160448,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
ffmpeg,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",jpeg,85,2400,1,1,0.37978,0.38156,257408,232044,160448,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
ffmpeg,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",jpeg,85,2400,2,1,0.3409,0.34319,257596,232232,160448,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pillow,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",webp,80,2400,0,1,0.70024,0.70836,316184,290828,62484,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pillow,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",webp,80,2400,1,1,0.68941,0.69776,316184,290828,62484,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pillow,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",webp,80,2400,2,1,0.69334,0.70174,316184,290828,62484,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pillow_draft,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",webp,80,2400,0,1,0.37063,0.3774,107888,82524,61376,2400,1601,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pillow_draft,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",webp,80,2400,1,1,0.37102,0.37779,107888,82524,61376,2400,1601,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pillow_draft,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",webp,80,2400,2,1,0.37041,0.3772,107888,82524,61376,2400,1601,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pyvips,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",webp,80,2400,0,1,3.01075,3.01469,192380,167016,57628,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pyvips,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",webp,80,2400,1,1,2.98019,2.98486,192352,166988,57628,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pyvips,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",webp,80,2400,2,1,2.99345,2.99807,214828,189464,57628,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pyvips_c1,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",webp,80,2400,0,1,2.9737,2.97873,190968,165604,57628,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pyvips_c1,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",webp,80,2400,1,1,2.96965,2.9746,211780,186416,57628,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pyvips_c1,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",webp,80,2400,2,1,2.99183,2.99598,211048,185684,57628,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pyvips_tuned,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",webp,80,2400,0,1,0.79181,0.79501,134520,109156,50064,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pyvips_tuned,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",webp,80,2400,1,1,0.73621,0.7393,126392,101028,50064,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pyvips_tuned,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",webp,80,2400,2,1,0.73055,0.7338,125380,100016,50064,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
ffmpeg,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",webp,80,2400,0,1,0.5115,0.51312,244064,218700,62100,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
ffmpeg,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",webp,80,2400,1,1,0.54678,0.54831,244040,218676,62100,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
ffmpeg,public/files/305 SİYAH.jpg,"JPEG CMYK 36,2 MP — CMYK + yüksek MP",webp,80,2400,2,1,0.50259,0.50409,244036,218672,62100,2400,1602,JPEG,CMYK,7361,4912,36.157,2678021,0,0,
pillow,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",jpeg,85,2400,0,1,1.95432,1.96249,376248,350892,133146,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pillow,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",jpeg,85,2400,1,1,1.98263,1.9904,376248,350892,133146,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pillow,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",jpeg,85,2400,2,1,1.97495,1.98257,376248,350892,133146,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
